Temperature,Heat Capacity (Normalized),Enthalpy
5,1.79,0
5.1,1.794,0.1794
5.2,1.795,0.3589
5.3,1.799,0.5388
5.4,1.801,0.7189
5.5,1.803,0.8992
5.6,1.806,1.0798
5.7,1.81,1.2608
5.8,1.81,1.4418
5.9,1.814,1.6232
6,1.814,1.8046
6.1,1.816,1.9862
6.2,1.816,2.1678
6.3,1.82,2.3498
6.4,1.821,2.5319
6.5,1.823,2.7142
6.6,1.825,2.8967
6.7,1.825,3.0792
6.8,1.828,3.262
6.9,1.827,3.4447
7,1.83,3.6277
7.1,1.83,3.8107
7.2,1.833,3.994
7.3,1.832,4.1772
7.4,1.834,4.3606
7.5,1.836,4.5442
7.6,1.835,4.7277
7.7,1.837,4.9114
7.8,1.836,5.095
7.9,1.838,5.2788
8,1.838,5.4626
8.1,1.84,5.6466
8.2,1.841,5.8307
8.3,1.843,6.015
8.4,1.843,6.1993
8.5,1.844,6.3837
8.6,1.844,6.5681
8.7,1.846,6.7527
8.8,1.848,6.9375
8.9,1.847,7.1222
9,1.85,7.3072
9.1,1.848,7.492
9.2,1.85,7.677
9.3,1.849,7.8619
9.4,1.852,8.0471
9.5,1.851,8.2322
9.6,1.853,8.4175
9.7,1.852,8.6027
9.8,1.853,8.788
9.9,1.855,8.9735
10,1.855,9.159
10.1,1.857,9.3447
10.2,1.857,9.5304
10.3,1.859,9.7163
10.4,1.859,9.9022
10.5,1.86,10.0882
10.6,1.86,10.2742
10.7,1.862,10.4604
10.8,1.861,10.6465
10.9,1.86,10.8325
11,1.862,11.0187
11.1,1.863,11.205
11.2,1.864,11.3914
11.3,1.864,11.5778
11.4,1.864,11.7642
11.5,1.865,11.9507
11.6,1.864,12.1371
11.7,1.866,12.3237
11.8,1.867,12.5104
11.9,1.867,12.6971
12,1.866,12.8837
12.1,1.867,13.0704
12.2,1.867,13.2571
12.3,1.869,13.444
12.4,1.869,13.6309
12.5,1.869,13.8178
12.6,1.87,14.0048
12.7,1.869,14.1917
12.8,1.87,14.3787
12.9,1.872,14.5659
13,1.871,14.753
13.1,1.873,14.9403
13.2,1.874,15.1277
13.3,1.873,15.315
13.4,1.876,15.5026
13.5,1.876,15.6902
13.6,1.877,15.8779
13.7,1.878,16.0657
13.8,1.878,16.2535
13.9,1.879,16.4414
14,1.881,16.6295
14.1,1.881,16.8176
14.2,1.88,17.0056
14.3,1.882,17.1938
14.4,1.881,17.3819
14.5,1.884,17.5703
14.6,1.884,17.7587
14.7,1.882,17.9469
14.8,1.885,18.1354
14.9,1.885,18.3239
15,1.887,18.5126
15.1,1.886,18.7012
15.2,1.888,18.89
15.3,1.887,19.0787
15.4,1.889,19.2676
15.5,1.89,19.4566
15.6,1.891,19.6457
15.7,1.892,19.8349
15.8,1.892,20.0241
15.9,1.891,20.2132
16,1.892,20.4024
16.1,1.894,20.5918
16.2,1.892,20.781
16.3,1.895,20.9705
16.4,1.896,21.1601
16.5,1.897,21.3498
16.6,1.897,21.5395
16.7,1.898,21.7293
16.8,1.898,21.9191
16.9,1.903,22.1094
17,1.901,22.2995
17.1,1.902,22.4897
17.2,1.904,22.6801
17.3,1.903,22.8704
17.4,1.902,23.0606
17.5,1.904,23.251
17.6,1.903,23.4413
17.7,1.904,23.6317
17.8,1.906,23.8223
17.9,1.906,24.0129
18,1.908,24.2037
18.1,1.908,24.3945
18.2,1.911,24.5856
18.3,1.91,24.7766
18.4,1.912,24.9678
18.5,1.912,25.159
18.6,1.914,25.3504
18.7,1.915,25.5419
18.8,1.914,25.7333
18.9,1.914,25.9247
19,1.916,26.1163
19.1,1.917,26.308
