lighting_interior,lighting_exterior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.0496,0.559,0.559,0,0,0,0,0.465,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.062,0.559,0.559,0,0,0,0,0.497,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0537,0.517,0.517,0,0,0,0,0.491,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
0.0496,0.517,0.517,0,0,0,0,0.465,0,0,0
