Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
20,1.371,1.371
20.01,1.371,1.38471
20.01,1.371,1.38471
20.02,1.372,1.39843
20.03,1.372,1.41215
20.04,1.372,1.42587
20.05,1.373,1.4396
20.05,1.373,1.4396
20.06,1.373,1.45333
20.07,1.373,1.46706
20.08,1.373,1.48079
20.09,1.373,1.49452
20.1,1.373,1.50825
20.1,1.374,1.50825
20.11,1.374,1.52199
20.12,1.374,1.53573
20.13,1.374,1.54947
20.14,1.374,1.56321
20.15,1.374,1.57695
20.15,1.374,1.57695
20.16,1.374,1.59069
20.17,1.374,1.60443
20.18,1.374,1.61817
20.19,1.374,1.63191
20.2,1.375,1.64566
20.2,1.375,1.64566
20.21,1.375,1.65941
20.22,1.375,1.67316
20.23,1.375,1.68691
20.24,1.375,1.70066
20.25,1.376,1.71442
20.25,1.376,1.71442
20.26,1.376,1.72818
20.27,1.377,1.74195
20.28,1.377,1.75572
20.29,1.377,1.76949
20.3,1.378,1.78327
20.3,1.378,1.78327
20.31,1.378,1.79705
20.32,1.378,1.81083
20.33,1.378,1.82461
20.34,1.378,1.83839
20.35,1.378,1.85217
20.35,1.378,1.85217
20.36,1.378,1.86595
20.37,1.378,1.87973
20.38,1.378,1.89351
20.39,1.378,1.90729
20.4,1.379,1.92108
20.4,1.379,1.92108
20.41,1.379,1.93487
20.42,1.379,1.94866
20.43,1.379,1.96245
20.44,1.379,1.97624
20.44,1.38,1.97624
20.45,1.38,1.99004
20.46,1.38,2.00384
20.47,1.38,2.01764
20.48,1.38,2.03144
20.49,1.381,2.04525
20.5,1.381,2.05906
20.5,1.381,2.05906
20.51,1.381,2.07287
20.52,1.381,2.08668
20.53,1.381,2.10049
20.54,1.381,2.1143
20.54,1.381,2.1143
20.55,1.381,2.12811
20.56,1.381,2.14192
20.57,1.381,2.15573
20.58,1.382,2.16955
20.59,1.382,2.18337
20.59,1.382,2.18337
20.6,1.382,2.19719
20.61,1.382,2.21101
20.62,1.382,2.22483
20.63,1.382,2.23865
20.64,1.382,2.25247
20.64,1.383,2.25247
20.65,1.383,2.2663
20.66,1.383,2.28013
20.67,1.383,2.29396
20.68,1.384,2.3078
20.69,1.384,2.32164
20.69,1.384,2.32164
20.7,1.384,2.33548
20.71,1.384,2.34932
20.72,1.385,2.36317
20.73,1.385,2.37702
20.74,1.385,2.39087
20.74,1.385,2.39087
20.75,1.385,2.40472
20.76,1.385,2.41857
20.77,1.385,2.43242
20.78,1.385,2.44627
20.79,1.385,2.46012
20.79,1.385,2.46012
20.8,1.385,2.47397
20.81,1.385,2.48782
20.82,1.385,2.50167
20.83,1.385,2.51552
20.83,1.386,2.51552
20.84,1.386,2.52938
20.85,1.386,2.54324
20.86,1.386,2.5571
20.87,1.387,2.57097
20.88,1.387,2.58484
20.89,1.387,2.59871
20.89,1.387,2.59871
20.9,1.387,2.61258
20.91,1.387,2.62645
20.92,1.387,2.64032
20.93,1.387,2.65419
20.93,1.387,2.65419
20.94,1.387,2.66806
20.95,1.387,2.68193
20.96,1.387,2.6958
20.97,1.387,2.70967
20.98,1.387,2.72354
20.99,1.388,2.73742
20.99,1.388,2.73742
21,1.388,2.7513
21.01,1.388,2.76518
21.02,1.387,2.77905
21.03,1.387,2.79292
21.04,1.387,2.80679
21.04,1.387,2.80679
21.05,1.387,2.82066
21.06,1.387,2.83453
21.07,1.387,2.8484
21.08,1.387,2.86227
21.09,1.387,2.87614
21.09,1.388,2.87614
21.1,1.388,2.89002
21.11,1.388,2.9039
21.12,1.388,2.91778
21.13,1.388,2.93166
21.13,1.389,2.93166
21.14,1.389,2.94555
21.15,1.389,2.95944
21.16,1.39,2.97334
21.17,1.39,2.98724
21.18,1.39,3.00114
21.18,1.39,3.00114
21.19,1.39,3.01504
21.2,1.39,3.02894
21.21,1.391,3.04285
21.22,1.391,3.05676
21.23,1.391,3.07067
21.23,1.391,3.07067
21.24,1.391,3.08458
21.25,1.391,3.09849
21.26,1.391,3.1124
21.27,1.391,3.12631
21.28,1.391,3.14022
21.29,1.391,3.15413
21.29,1.391,3.15413
21.3,1.391,3.16804
21.31,1.391,3.18195
21.32,1.391,3.19586
21.33,1.391,3.20977
21.33,1.391,3.20977
21.34,1.392,3.22369
21.35,1.392,3.23761
21.36,1.392,3.25153
21.37,1.393,3.26546
21.38,1.393,3.27939
21.38,1.393,3.27939
21.39,1.393,3.29332
21.4,1.393,3.30725
21.41,1.393,3.32118
21.42,1.393,3.33511
21.43,1.393,3.34904
21.44,1.393,3.36297
21.44,1.393,3.36297
21.45,1.393,3.3769
21.46,1.393,3.39083
21.47,1.394,3.40477
21.48,1.394,3.41871
21.48,1.394,3.41871
21.49,1.395,3.43266
21.5,1.395,3.44661
21.51,1.395,3.46056
21.52,1.395,3.47451
21.53,1.395,3.48846
21.54,1.395,3.50241
21.54,1.395,3.50241
21.55,1.396,3.51637
21.56,1.396,3.53033
21.57,1.396,3.54429
21.58,1.396,3.55825
21.58,1.396,3.55825
21.59,1.396,3.57221
21.6,1.396,3.58617
21.61,1.396,3.60013
21.62,1.396,3.61409
21.63,1.396,3.62805
21.64,1.396,3.64201
21.64,1.396,3.64201
21.65,1.397,3.65598
21.66,1.397,3.66995
21.67,1.397,3.68392
21.68,1.397,3.69789
21.69,1.397,3.71186
21.69,1.397,3.71186
21.7,1.397,3.72583
21.71,1.397,3.7398
21.72,1.397,3.75377
21.73,1.398,3.76775
21.73,1.398,3.76775
21.74,1.398,3.78173
21.75,1.398,3.79571
21.76,1.399,3.8097
21.77,1.399,3.82369
21.78,1.399,3.83768
21.79,1.399,3.85167
21.79,1.4,3.85167
21.8,1.4,3.86567
21.81,1.4,3.87967
21.82,1.4,3.89367
21.83,1.4,3.90767
21.84,1.401,3.92168
21.84,1.401,3.92168
21.85,1.401,3.93569
21.86,1.401,3.9497
21.87,1.401,3.96371
21.88,1.401,3.97772
21.88,1.401,3.97772
21.89,1.401,3.99173
21.9,1.401,4.00574
21.91,1.401,4.01975
21.92,1.401,4.03376
21.93,1.401,4.04777
21.93,1.402,4.04777
21.94,1.402,4.06179
21.95,1.402,4.07581
21.96,1.403,4.08984
21.97,1.403,4.10387
21.98,1.403,4.1179
21.98,1.403,4.1179
21.99,1.404,4.13194
22,1.404,4.14598
22.01,1.404,4.16002
22.02,1.404,4.17406
22.03,1.404,4.1881
22.03,1.404,4.1881
22.04,1.404,4.20214
22.05,1.404,4.21618
22.06,1.404,4.23022
22.07,1.404,4.24426
22.08,1.404,4.2583
22.08,1.404,4.2583
22.09,1.404,4.27234
22.1,1.405,4.28639
22.11,1.405,4.30044
22.12,1.405,4.31449
22.12,1.405,4.31449
22.13,1.405,4.32854
22.14,1.406,4.3426
22.15,1.406,4.35666
22.16,1.406,4.37072
22.17,1.406,4.38478
22.18,1.406,4.39884
22.18,1.406,4.39884
22.19,1.406,4.4129
22.2,1.406,4.42696
22.21,1.406,4.44102
22.22,1.406,4.45508
22.23,1.406,4.46914
22.23,1.406,4.46914
22.24,1.406,4.4832
22.25,1.406,4.49726
22.26,1.407,4.51133
22.27,1.407,4.5254
22.28,1.407,4.53947
22.28,1.407,4.53947
22.29,1.407,4.55354
22.3,1.407,4.56761
22.31,1.408,4.58169
22.32,1.408,4.59577
22.33,1.408,4.60985
22.33,1.408,4.60985
22.34,1.407,4.62392
22.35,1.407,4.63799
22.36,1.407,4.65206
22.37,1.407,4.66613
22.38,1.407,4.6802
22.38,1.407,4.6802
22.39,1.408,4.69428
22.4,1.408,4.70836
22.41,1.408,4.72244
22.42,1.408,4.73652
22.43,1.408,4.7506
22.43,1.408,4.7506
22.44,1.408,4.76468
22.45,1.408,4.77876
22.46,1.408,4.79284
22.47,1.408,4.80692
22.47,1.408,4.80692
22.48,1.408,4.821
22.49,1.408,4.83508
22.5,1.408,4.84916
22.51,1.408,4.86324
22.52,1.408,4.87732
22.52,1.409,4.87732
22.53,1.409,4.89141
22.54,1.409,4.9055
22.55,1.409,4.91959
22.56,1.409,4.93368
22.57,1.409,4.94777
22.57,1.409,4.94777
22.58,1.409,4.96186
22.59,1.409,4.97595
22.6,1.409,4.99004
22.61,1.409,5.00413
22.62,1.409,5.01822
22.63,1.409,5.03231
22.63,1.409,5.03231
22.64,1.409,5.0464
22.65,1.409,5.06049
22.66,1.409,5.07458
22.67,1.409,5.08867
22.68,1.41,5.10277
22.68,1.41,5.10277
22.69,1.41,5.11687
22.7,1.41,5.13097
22.71,1.41,5.14507
22.72,1.41,5.15917
22.72,1.411,5.15917
22.73,1.411,5.17328
22.74,1.41,5.18738
22.75,1.41,5.20148
22.76,1.41,5.21558
22.77,1.41,5.22968
22.77,1.41,5.22968
22.78,1.41,5.24378
22.79,1.41,5.25788
22.8,1.41,5.27198
22.81,1.41,5.28608
22.82,1.411,5.30019
22.83,1.411,5.3143
22.83,1.411,5.3143
22.84,1.411,5.32841
22.85,1.411,5.34252
22.86,1.411,5.35663
22.87,1.411,5.37074
22.87,1.411,5.37074
22.88,1.411,5.38485
22.89,1.411,5.39896
22.9,1.411,5.41307
22.91,1.411,5.42718
22.92,1.411,5.44129
22.92,1.412,5.44129
22.93,1.412,5.45541
22.94,1.412,5.46953
22.95,1.412,5.48365
22.96,1.412,5.49777
22.97,1.412,5.51189
22.97,1.412,5.51189
22.98,1.412,5.52601
22.99,1.412,5.54013
23,1.412,5.55425
23.01,1.412,5.56837
23.02,1.412,5.58249
23.03,1.412,5.59661
23.03,1.413,5.59661
23.04,1.413,5.61074
23.05,1.413,5.62487
23.06,1.413,5.639
23.07,1.414,5.65314
23.07,1.414,5.65314
23.08,1.414,5.66728
23.09,1.414,5.68142
23.1,1.414,5.69556
23.11,1.414,5.7097
23.12,1.414,5.72384
23.13,1.414,5.73798
23.13,1.414,5.73798
23.14,1.415,5.75213
23.15,1.415,5.76628
23.16,1.415,5.78043
23.17,1.415,5.79458
23.17,1.415,5.79458
23.18,1.415,5.80873
23.19,1.415,5.82288
23.2,1.415,5.83703
23.21,1.415,5.85118
23.22,1.415,5.86533
23.22,1.416,5.86533
23.23,1.416,5.87949
23.24,1.416,5.89365
23.25,1.416,5.90781
23.26,1.416,5.92197
23.27,1.416,5.93613
23.28,1.415,5.95028
23.28,1.415,5.95028
23.29,1.416,5.96444
23.3,1.416,5.9786
23.31,1.416,5.99276
23.32,1.416,6.00692
23.32,1.416,6.00692
23.33,1.416,6.02108
23.34,1.416,6.03524
23.35,1.417,6.04941
23.36,1.417,6.06358
23.36,1.417,6.06358
23.37,1.417,6.07775
23.38,1.417,6.09192
23.39,1.417,6.10609
23.4,1.417,6.12026
23.41,1.418,6.13444
23.41,1.418,6.13444
23.42,1.418,6.14862
23.43,1.418,6.1628
23.44,1.418,6.17698
23.45,1.418,6.19116
23.46,1.418,6.20534
23.47,1.418,6.21952
23.47,1.418,6.21952
23.48,1.418,6.2337
