Temperature (C),Heat Capacity (J/g-C),Enthalpy (J/g)
13,1.371,1.371
13.01,1.371,1.38471
13.01,1.371,1.38471
13.02,1.372,1.39843
13.03,1.372,1.41215
13.04,1.372,1.42587
13.05,1.373,1.4396
13.05,1.373,1.4396
13.06,1.373,1.45333
13.07,1.373,1.46706
13.08,1.373,1.48079
13.09,1.373,1.49452
13.1,1.373,1.50825
13.1,1.374,1.50825
13.11,1.374,1.52199
13.12,1.374,1.53573
13.13,1.374,1.54947
13.14,1.374,1.56321
13.15,1.374,1.57695
13.15,1.374,1.57695
13.16,1.374,1.59069
13.17,1.374,1.60443
13.18,1.374,1.61817
13.19,1.374,1.63191
13.2,1.375,1.64566
13.2,1.375,1.64566
13.21,1.375,1.65941
13.22,1.375,1.67316
13.23,1.375,1.68691
13.24,1.375,1.70066
13.25,1.376,1.71442
13.25,1.376,1.71442
13.26,1.376,1.72818
13.27,1.377,1.74195
13.28,1.377,1.75572
13.29,1.377,1.76949
13.3,1.378,1.78327
13.3,1.378,1.78327
13.31,1.378,1.79705
13.32,1.378,1.81083
13.33,1.378,1.82461
13.34,1.378,1.83839
13.35,1.378,1.85217
13.35,1.378,1.85217
13.36,1.378,1.86595
13.37,1.378,1.87973
13.38,1.378,1.89351
13.39,1.378,1.90729
13.4,1.379,1.92108
13.4,1.379,1.92108
13.41,1.379,1.93487
13.42,1.379,1.94866
13.43,1.379,1.96245
13.44,1.379,1.97624
13.44,1.38,1.97624
13.45,1.38,1.99004
13.46,1.38,2.00384
13.47,1.38,2.01764
13.48,1.38,2.03144
13.49,1.381,2.04525
13.5,1.381,2.05906
13.5,1.381,2.05906
13.51,1.381,2.07287
13.52,1.381,2.08668
13.53,1.381,2.10049
13.54,1.381,2.1143
13.54,1.381,2.1143
13.55,1.381,2.12811
13.56,1.381,2.14192
13.57,1.381,2.15573
13.58,1.382,2.16955
13.59,1.382,2.18337
13.59,1.382,2.18337
13.6,1.382,2.19719
13.61,1.382,2.21101
13.62,1.382,2.22483
13.63,1.382,2.23865
13.64,1.382,2.25247
13.64,1.383,2.25247
13.65,1.383,2.2663
13.66,1.383,2.28013
13.67,1.383,2.29396
13.68,1.384,2.3078
13.69,1.384,2.32164
13.69,1.384,2.32164
13.7,1.384,2.33548
13.71,1.384,2.34932
13.72,1.385,2.36317
13.73,1.385,2.37702
13.74,1.385,2.39087
13.74,1.385,2.39087
13.75,1.385,2.40472
13.76,1.385,2.41857
13.77,1.385,2.43242
13.78,1.385,2.44627
13.79,1.385,2.46012
13.79,1.385,2.46012
13.8,1.385,2.47397
13.81,1.385,2.48782
13.82,1.385,2.50167
13.83,1.385,2.51552
13.83,1.386,2.51552
13.84,1.386,2.52938
13.85,1.386,2.54324
13.86,1.386,2.5571
13.87,1.387,2.57097
13.88,1.387,2.58484
13.89,1.387,2.59871
13.89,1.387,2.59871
13.9,1.387,2.61258
13.91,1.387,2.62645
13.92,1.387,2.64032
13.93,1.387,2.65419
13.93,1.387,2.65419
13.94,1.387,2.66806
13.95,1.387,2.68193
13.96,1.387,2.6958
13.97,1.387,2.70967
13.98,1.387,2.72354
13.99,1.388,2.73742
13.99,1.388,2.73742
14,1.388,2.7513
14.01,1.388,2.76518
14.02,1.387,2.77905
14.03,1.387,2.79292
14.04,1.387,2.80679
14.04,1.387,2.80679
14.05,1.387,2.82066
14.06,1.387,2.83453
14.07,1.387,2.8484
14.08,1.387,2.86227
14.09,1.387,2.87614
14.09,1.388,2.87614
14.1,1.388,2.89002
14.11,1.388,2.9039
14.12,1.388,2.91778
14.13,1.388,2.93166
14.13,1.389,2.93166
14.14,1.389,2.94555
14.15,1.389,2.95944
14.16,1.39,2.97334
14.17,1.39,2.98724
14.18,1.39,3.00114
14.18,1.39,3.00114
14.19,1.39,3.01504
14.2,1.39,3.02894
14.21,1.391,3.04285
14.22,1.391,3.05676
14.23,1.391,3.07067
14.23,1.391,3.07067
14.24,1.391,3.08458
14.25,1.391,3.09849
14.26,1.391,3.1124
14.27,1.391,3.12631
14.28,1.391,3.14022
14.29,1.391,3.15413
14.29,1.391,3.15413
14.3,1.391,3.16804
14.31,1.391,3.18195
14.32,1.391,3.19586
14.33,1.391,3.20977
14.33,1.391,3.20977
14.34,1.392,3.22369
14.35,1.392,3.23761
14.36,1.392,3.25153
14.37,1.393,3.26546
14.38,1.393,3.27939
14.38,1.393,3.27939
14.39,1.393,3.29332
14.4,1.393,3.30725
14.41,1.393,3.32118
14.42,1.393,3.33511
