Temp (K) ,cp (J/g-K),Enthalpy (J/g)
273.25,0.611908108,0
273.35,0.61425,0.673333108
273.45,0.74315,0.747648108
273.55,0.892188235,0.836866932
273.65,0.989214286,0.935788361
273.75,1.0667,1.042458361
273.85,1.126907692,1.15514913
273.95,1.16488,1.27163713
274.05,1.1964,1.39127713
274.15,1.22192,1.51346913
274.25,1.241981818,1.637667312
274.35,1.25436,1.763103312
274.45,1.263745455,1.889477857
274.55,1.2713,2.016607857
274.65,1.27985,2.144592857
274.75,1.282185714,2.272811429
274.85,1.285290909,2.401340519
274.95,1.287071428,2.530047662
275.05,1.287581818,2.658805844
275.15,1.289085714,2.787714416
275.25,1.2884,2.916554416
275.35,1.288861539,3.045440569
275.45,1.2888,3.174320569
275.55,1.288123077,3.303132877
275.65,1.288618182,3.431994695
275.75,1.288614286,3.560856124
275.85,1.287581818,3.689614306
275.95,1.287523077,3.818366613
276.05,1.287036364,3.94707025
276.15,1.2863,4.07570025
276.25,1.285454545,4.204245704
276.35,1.2842,4.332665704
276.45,1.283709091,4.461036613
276.55,1.282538461,4.58929046
276.65,1.2807,4.71736046
276.75,1.279076923,4.845268152
276.85,1.278418182,4.97310997
276.95,1.276076923,5.100717662
277.05,1.274654545,5.228183117
277.15,1.273142857,5.355497403
277.25,1.271327273,5.48263013
277.35,1.269938461,5.609623976
277.45,1.267836364,5.736407612
277.55,1.266753846,5.863082997
277.65,1.264781818,5.989561179
277.75,1.262728572,6.115834036
277.85,1.26068,6.241902036
277.95,1.2593,6.367832036
278.05,1.256927273,6.493524763
278.15,1.255030769,6.61902784
278.25,1.253927273,6.744420568
278.35,1.252030769,6.869623644
278.45,1.250054545,6.994629099
278.55,1.248246154,7.119453714
278.65,1.247327273,7.244186442
278.75,1.245928572,7.368779299
278.85,1.24424,7.493203299
278.95,1.242615385,7.617464837
279.05,1.24165,7.741629837
279.15,1.239707692,7.865600607
279.25,1.237454545,7.989346061
279.35,1.236476923,8.112993753
279.45,1.234890909,8.236482844
279.55,1.233661539,8.359848998
279.65,1.231836364,8.483032634
279.75,1.230661539,8.606098788
279.85,1.229163636,8.729015152
279.95,1.227661539,8.851781306
280.05,1.226872727,8.974468579
280.15,1.225492308,9.097017809
280.25,1.224472727,9.219465082
280.35,1.223184615,9.341783544
280.45,1.222290909,9.464012634
280.55,1.2212,9.586132634
280.65,1.220545455,9.70818718
280.75,1.219261539,9.830113334
280.85,1.218636364,9.95197697
280.95,1.217514286,10.0737284
281.05,1.21652,10.1953804
281.15,1.215585714,10.31693897
281.25,1.21466,10.43840497
281.35,1.213614286,10.5597664
281.45,1.212309091,10.68099731
281.55,1.211738461,10.80217115
281.65,1.210945455,10.9232657
281.75,1.210307692,11.04429647
281.85,1.209472727,11.16524374
281.95,1.2086,11.28610374
282.05,1.208,11.40690374
282.15,1.2074,11.52764374
282.25,1.207236364,11.64836738
282.35,1.206430769,11.76901045
282.45,1.206036364,11.88961409
282.55,1.204953846,12.01010948
282.65,1.205,12.13060948
282.75,1.2044,12.25104948
282.85,1.203527273,12.3714022
282.95,1.203292308,12.49173143
283.05,1.201890909,12.61192052
283.15,1.201907692,12.73211129
283.25,1.201345455,12.85224584
283.35,1.201261539,12.97237199
283.45,1.2008,13.09245199
283.55,1.2008,13.21253199
283.65,1.200472727,13.33257927
283.75,1.199738461,13.45255311
