Temp (K) ,cp (J/g-K),Enthalpy (J/g)
273.25,0.276911811,0.276911811
273.35,0.28017875,0.304929686
273.45,0.45999425,0.350929111
273.55,0.667902588,0.41771937
273.65,0.803253929,0.498044763
273.75,0.9113465,0.589179413
273.85,0.995336231,0.688713036
273.95,1.0483076,0.793543796
274.05,1.092278,0.902771596
274.15,1.1278784,1.015559436
274.25,1.155864637,1.1311459
274.35,1.1731322,1.24845912
274.45,1.186224909,1.367081611
274.55,1.1967635,1.486757961
274.65,1.20869075,1.607627036
274.75,1.211949071,1.728821943
274.85,1.216280818,1.850450025
274.95,1.218764643,1.972326489
275.05,1.219476637,2.094274153
275.15,1.221574571,2.21643161
275.25,1.220618,2.33849341
275.35,1.221261846,2.460619594
275.45,1.221176,2.582737194
275.55,1.220231693,2.704760364
275.65,1.220922363,2.8268526
275.75,1.220916929,2.948944293
275.85,1.219476637,3.070891956
275.95,1.219394693,3.192831426
276.05,1.218715728,3.314702998
276.15,1.2176885,3.436471848
276.25,1.216509091,3.558122758
276.35,1.214759,3.679598658
276.45,1.214074182,3.801006076
276.55,1.212441154,3.922250191
276.65,1.2098765,4.043237841
276.75,1.207612307,4.163999072
276.85,1.206693363,4.284668408
276.95,1.203427307,4.405011139
277.05,1.201443091,4.525155448
277.15,1.199334286,4.645088877
277.25,1.196801546,4.764769031
277.35,1.194864154,4.884255447
277.45,1.191931728,5.003448619
277.55,1.190421615,5.122490781
277.65,1.187670637,5.241257845
277.75,1.184806357,5.35973848
277.85,1.1819486,5.47793334
277.95,1.1800235,5.59593569
278.05,1.176713546,5.713607045
278.15,1.174067923,5.831013837
278.25,1.172528546,5.948266692
278.35,1.169882923,6.065254984
278.45,1.167126091,6.181967593
278.55,1.164603385,6.298427932
278.65,1.163321546,6.414760086
278.75,1.161370357,6.530897122
278.85,1.1590148,6.646798602
278.95,1.156748462,6.762473448
279.05,1.15540175,6.878013623
279.15,1.152692231,6.993282846
279.25,1.149549091,7.108237755
279.35,1.148185307,7.223056286
279.45,1.145972818,7.337653568
279.55,1.144257846,7.452079352
279.65,1.141711728,7.566250525
279.75,1.140072846,7.68025781
279.85,1.137983272,7.794056137
279.95,1.135887846,7.907644922
280.05,1.134787454,8.021123667
280.15,1.132861769,8.134409844
280.25,1.131439454,8.247553789
280.35,1.129642538,8.360518043
280.45,1.128395818,8.473357625
280.55,1.126874,8.586045025
280.65,1.125960909,8.698641116
280.75,1.124169846,8.811058101
