Temp (K) ,cp (J/g-C),Enthalpy (J/g)
273.25,0.251469054,0.251469054
273.35,0.25480625,0.276949679
273.45,0.43848875,0.320798554
273.55,0.650868235,0.385885378
273.65,0.789130357,0.464798414
273.75,0.8995475,0.554753164
273.85,0.985343462,0.65328751
273.95,1.039454,0.75723291
274.05,1.08437,0.86566991
274.15,1.120736,0.97774351
274.25,1.149324091,1.092675919
274.35,1.166963,1.209372219
274.45,1.180337273,1.327405946
274.55,1.1911025,1.446516196
274.65,1.20328625,1.566844821
274.75,1.206614643,1.687506286
274.85,1.211039546,1.80861024
274.95,1.213576785,1.929967919
275.05,1.214304091,2.051398328
275.15,1.216447143,2.173043042
275.25,1.21547,2.294590042
275.35,1.216127693,2.416202811
275.45,1.21604,2.537806811
275.55,1.215075385,2.65931435
275.65,1.215780909,2.780892441
275.75,1.215775357,2.902469977
275.85,1.214304091,3.023900386
275.95,1.214220385,3.145322424
276.05,1.213526818,3.266675106
276.15,1.2124775,3.387922856
276.25,1.211272727,3.509050129
276.35,1.209485,3.629998629
276.45,1.208785454,3.750877174
276.55,1.207117307,3.871588905
276.65,1.2044975,3.992038655
276.75,1.202184615,4.112257116
276.85,1.201245909,4.232381707
276.95,1.197909615,4.352172669
277.05,1.195882727,4.471760942
277.15,1.193728572,4.591133799
277.25,1.191141364,4.710247935
277.35,1.189162307,4.829164166
277.45,1.186166818,4.947780848
277.55,1.184624231,5.066243271
277.65,1.181814091,5.18442468
277.75,1.178888215,5.302313501
277.85,1.175969,5.419910401
277.95,1.1740025,5.537310651
278.05,1.170621364,5.654372788
278.15,1.167918846,5.771164672
278.25,1.166346364,5.887799309
278.35,1.163643846,6.004163693
278.45,1.160827727,6.120246466
278.55,1.158250769,6.236071543
278.65,1.156941364,6.351765679
278.75,1.154948215,6.467260501
278.85,1.152542,6.582514701
278.95,1.150226923,6.697537393
279.05,1.14885125,6.812422518
279.15,1.146083462,6.927030864
279.25,1.142872727,7.041318137
279.35,1.141479615,7.155466099
279.45,1.139219546,7.269388053
279.55,1.137467693,7.383134822
279.65,1.134866818,7.496621504
279.75,1.133192693,7.609940773
279.85,1.131058182,7.723046592
279.95,1.128917693,7.835938361
280.05,1.127793636,7.948717724
