T ©,45vol% Weighted heat capacity (J/g-c),45vol% enthalpy (J/g)
0.1,0.893405405,0.893405405
0.2,0.894966667,0.982902072
0.3,0.9809,1.080992072
0.4,1.080258824,1.189017954
0.5,1.144942857,1.30351224
0.6,1.1966,1.42317224
0.7,1.236738462,1.546846086
0.8,1.262053333,1.67305142
0.9,1.283066667,1.801358086
1,1.30008,1.931366086
1.1,1.313454545,2.062711541
1.2,1.321706667,2.194882208
1.3,1.327963636,2.327678571
1.4,1.333,2.460978571
1.5,1.3387,2.594848571
1.6,1.340257143,2.728874285
1.7,1.342327273,2.863107013
1.8,1.343514286,2.997458441
1.9,1.343854545,3.131843896
2,1.344857143,3.26632961
2.1,1.3444,3.40076961
2.2,1.344707692,3.535240379
2.3,1.344666667,3.669707046
2.4,1.344215385,3.804128584
2.5,1.344545455,3.93858313
2.6,1.344542857,4.073037416
2.7,1.343854545,4.20742287
2.8,1.343815385,4.341804409
2.9,1.343490909,4.4761535
3,1.343,4.6104535
3.1,1.342436364,4.744697136
3.2,1.3416,4.878857136
3.3,1.341272727,5.012984409
3.4,1.340492308,5.147033639
3.5,1.339266667,5.280960306
3.6,1.338184615,5.414778768
3.7,1.337745455,5.548553313
3.8,1.336184615,5.682171775
3.9,1.335236364,5.815695411
4,1.334228571,5.949118268
4.1,1.333018182,6.082420086
4.2,1.332092308,6.215629317
4.3,1.330690909,6.348698408
4.4,1.329969231,6.481695331
4.5,1.328654545,6.614560786
4.6,1.327285714,6.747289357
4.7,1.32592,6.879881357
4.8,1.325,7.012381357
4.9,1.323418182,7.144723175
5,1.322153846,7.27693856
5.1,1.321418182,7.409080378
5.2,1.320153846,7.541095763
5.3,1.318836364,7.672979399
5.4,1.317630769,7.804742476
5.5,1.317018182,7.936444294
5.6,1.316085714,8.068052866
5.7,1.31496,8.199548866
5.8,1.313876923,8.330936558
5.9,1.313233333,8.462259891
6,1.311938462,8.593453737
6.1,1.310436364,8.724497374
6.2,1.309784615,8.855475835
6.3,1.308727273,8.986348562
6.4,1.307907692,9.117139332
6.5,1.306690909,9.247808423
6.6,1.305907692,9.378399192
6.7,1.304909091,9.508890101
6.8,1.303907692,9.63928087
6.9,1.303381818,9.769619052
7,1.302461538,9.899865206
7.1,1.301781818,10.03004339
7.2,1.300923077,10.1601357
7.3,1.300327273,10.29016842
7.4,1.2996,10.42012842
7.5,1.299163636,10.55004479
7.6,1.298307692,10.67987556
7.7,1.297890909,10.80966465
7.8,1.297142857,10.93937893
7.9,1.29648,11.06902693
8,1.295857143,11.19861265
8.1,1.29524,11.32813665
8.2,1.294542857,11.45759093
8.3,1.293672727,11.5869582
8.4,1.293292308,11.71628744
8.5,1.292763636,11.8455638
8.6,1.292338462,11.97479765
8.7,1.291781818,12.10397583
8.8,1.2912,12.23309583
8.9,1.2908,12.36217583
9,1.2904,12.49121583
9.1,1.290290909,12.62024492
9.2,1.289753846,12.7492203
9.3,1.289490909,12.87816939
9.4,1.288769231,13.00704632
9.5,1.2888,13.13592632
9.6,1.2884,13.26476632
9.7,1.287818182,13.39354813
9.8,1.287661538,13.52231429
9.9,1.286727273,13.65098702
10,1.286738462,13.77966086
10.1,1.286363636,13.90829723
10.2,1.286307692,14.036928
10.3,1.286,14.165528
10.4,1.286,14.294128
10.5,1.285781818,14.42270618
10.6,1.285292308,14.55123541
10.7,1.2852,14.67975541
10.8,1.284861538,14.80824156
10.9,1.2852,14.93676156
11,1.284953846,15.06525695
11.1,1.284763636,15.19373331
11.2,1.2844,15.32217331
11.3,1.284145455,15.45058786
11.4,1.283630769,15.57895093
11.5,1.283672727,15.7073182
11.6,1.283476923,15.8356659
11.7,1.2832,15.9639859
11.8,1.282984615,16.09228436
11.9,1.283127273,16.22059709
12,1.282676923,16.34886478
12.1,1.2824,16.47710478
12.2,1.2824,16.60534478
12.3,1.282472727,16.73359205
12.4,1.2824,16.86183205
12.5,1.2824,16.99007205
12.6,1.2824,17.11831205
12.7,1.2824,17.24655205
12.8,1.282184615,17.37477051
12.9,1.282327273,17.50300324
13,1.282030769,17.63120632
13.1,1.282,17.75940632
13.2,1.282092308,17.88761555
13.3,1.282,18.01581555
13.4,1.281885714,18.14400412
13.5,1.28168,18.27217212
13.6,1.2816,18.40033212
13.7,1.281709091,18.52850303
13.8,1.2816,18.65666303
13.9,1.28152,18.78481503
14,1.281507692,18.9129658
14.1,1.281418182,19.04110762
14.2,1.2816,19.16926762
14.3,1.2816,19.29742762
14.4,1.281314286,19.42555904
14.5,1.28172,19.55373104
14.6,1.2818,19.68191104
14.7,1.28124,19.81003504
14.8,1.281571429,19.93819219
14.9,1.2816,20.06635219
15,1.281292308,20.19448142
15.1,1.2814,20.32262142
15.2,1.281428571,20.45076427
15.3,1.28112,20.57887627
15.4,1.281685714,20.70704485
15.5,1.2816,20.83520485
15.6,1.281657143,20.96337056
15.7,1.281963636,21.09156692
15.8,1.281846154,21.21975154
15.9,1.282218182,21.34797336
16,1.282061538,21.47617951
16.1,1.2824,21.60441951
16.2,1.282184615,21.73263797
16.3,1.282218182,21.86085979
16.4,1.282184615,21.98907825
16.5,1.2824,22.11731825
16.6,1.282184615,22.24553671
16.7,1.2822,22.37375671
16.8,1.282542857,22.502011
16.9,1.2824,22.630251
17,1.2824,22.758491
17.1,1.2824,22.886731
17.2,1.282738462,23.01500485
17.3,1.283054545,23.1433103
17.4,1.282953846,23.27160569
17.5,1.282909091,23.39989659
17.6,1.283046154,23.52820121
17.7,1.2832,23.65652121
17.8,1.2832,23.78484121
17.9,1.283090909,23.9131503
18,1.283415385,24.04149184
18.1,1.283272727,24.16981911
18.2,1.283415385,24.29816065
18.3,1.283636364,24.42652429
18.4,1.283784615,24.55490275
18.5,1.283963636,24.68329911
18.6,1.284215385,24.81172065
