T (K),81vol% Weighted heat capacity (J/g-c),81vol% enthalpy (J/g)
268.25,0.353794122,0.353794122
268.35,0.356847558,0.389478877
268.45,0.524911675,0.441970045
268.55,0.719232694,0.513893314
268.65,0.845738493,0.598467164
268.75,0.94676695,0.693143859
268.85,1.025267746,0.795670633
268.95,1.074777307,0.903148364
269.05,1.115874133,1.014735777
269.15,1.14914796,1.129650573
269.25,1.175305227,1.247181096
269.35,1.191444313,1.366325527
269.45,1.203681382,1.486693666
269.55,1.21353125,1.608046791
269.65,1.224679025,1.730514693
269.75,1.227724407,1.853287134
269.85,1.231773064,1.97646444
269.95,1.234094564,2.099873897
270.05,1.234760027,2.223349899
270.15,1.236720857,2.347021985
270.25,1.2358268,2.470604665
270.35,1.236428569,2.594247522
270.45,1.236348333,2.717882355
270.55,1.235465738,2.841428929
270.65,1.236111273,2.965040056
270.75,1.236106193,3.088650676
270.85,1.234760027,3.212126678
270.95,1.234683438,3.335595022
271.05,1.234048845,3.458999907
271.15,1.23308875,3.582308782
271.25,1.231986418,3.705507424
271.35,1.2303507,3.828542494
271.45,1.229710636,3.951513557
271.55,1.228184331,4.07433199
271.65,1.225787283,4.196910719
271.75,1.223671062,4.319277825
271.85,1.222812173,4.441559042
271.95,1.219759562,4.563534998
272.05,1.217905018,4.6853255
272.15,1.215934029,4.806918903
272.25,1.213566809,4.928275584
272.35,1.211756031,5.049451187
272.45,1.209015245,5.170352711
272.55,1.207603823,5.291113094
272.65,1.205032627,5.411616356
272.75,1.202355536,5.53185191
272.85,1.19968454,5.651820364
272.95,1.19788525,5.771608889
273.05,1.194791609,5.89108805
273.15,1.192318885,6.010319938
273.25,1.190880109,6.129407949
273.35,1.188407385,6.248248688
273.45,1.185830718,6.36683176
273.55,1.183472877,6.485179047
273.65,1.182274809,6.603406528
273.75,1.180451136,6.721451642
273.85,1.17824952,6.839276594
273.95,1.176131292,6.956889723
274.05,1.174872592,7.074376982
274.15,1.172340146,7.191610997
274.25,1.169402418,7.308551239
274.35,1.168127762,7.425364015
274.45,1.166059864,7.541970001
274.55,1.164456969,7.658415698
274.65,1.162077245,7.774623423
274.75,1.160545469,7.890677969
274.85,1.158592455,8.006537215
274.95,1.156633969,8.122200612
275.05,1.155605491,8.237761161
275.15,1.153805654,8.353141726
275.25,1.152476291,8.468389355
275.35,1.150796808,8.583469036
275.45,1.149631564,8.698432193
275.55,1.1482092,8.813253113
275.65,1.147355782,8.927988691
275.75,1.145681769,9.042556868
275.85,1.144866645,9.157043532
275.95,1.143403643,9.271383896
276.05,1.14210726,9.385594622
276.15,1.140889107,9.499683533
276.25,1.13968213,9.613651746
276.35,1.138318693,9.727483615
276.45,1.136616936,9.841145309
276.55,1.135872931,9.954732602
276.65,1.134838982,10.0682165
276.75,1.134007446,10.18161724
276.85,1.132918791,10.29490912
276.95,1.1317809,10.40808721
277.05,1.1309986,10.52118707
277.15,1.1302163,10.6342087
277.25,1.130002945,10.747209
277.35,1.128952585,10.86010426
277.45,1.128438345,10.97294809
277.55,1.127026923,11.08565078
277.65,1.1270871,11.19835949
277.75,1.1263048,11.31098997
277.85,1.125166909,11.42350666
277.95,1.124860554,11.53599272
278.05,1.123033364,11.64829606
278.15,1.123055246,11.76060158
278.25,1.122322182,11.8728338
278.35,1.122212769,11.98505508
278.45,1.121611,12.09721618
278.55,1.121611,12.20937728
278.65,1.121184291,12.32149571
278.75,1.120226931,12.4335184
278.85,1.1200464,12.54552304
278.95,1.119384454,12.65746148
279.05,1.1200464,12.76946612
279.15,1.119564985,12.88142262
279.25,1.119192982,12.99334192
279.35,1.1184818,13.1051901
279.45,1.117983973,13.2169885
279.55,1.116977377,13.32868624
279.65,1.117059436,13.44039218
279.75,1.116676492,13.55205983
279.85,1.1161349,13.66367332
279.95,1.115713662,13.77524468
280.05,1.115992664,13.88684395
280.15,1.115111892,13.99835514
280.25,1.1145703,14.10981217
280.35,1.1145703,14.2212692
280.45,1.114712536,14.33274045
280.55,1.1145703,14.44419748
280.65,1.1145703,14.55565451
280.75,1.1145703,14.66711154
280.85,1.1145703,14.77856857
280.95,1.114149062,14.88998348
281.05,1.114428064,15.00142629
281.15,1.113848177,15.1128111
281.25,1.113788,15.2241899
281.35,1.113968531,15.33558676
281.45,1.113788,15.44696556
281.55,1.113564486,15.55832201
281.65,1.11316216,15.66963822
281.75,1.1130057,15.78093879
281.85,1.113219055,15.8922607
281.95,1.1130057,16.00356127
282.05,1.11284924,16.11484619
282.15,1.112825169,16.22612871
282.25,1.112650109,16.33739372
282.35,1.1130057,16.44869429
282.45,1.1130057,16.55999486
282.55,1.112446914,16.67123955
282.65,1.11324039,16.78256359
282.75,1.11339685,16.89390327
282.85,1.11230163,17.00513344
282.95,1.112949821,17.11642842
283.05,1.1130057,17.22772899
283.15,1.112403931,17.33896938
283.25,1.11261455,17.45023084
283.35,1.112670429,17.56149788
283.45,1.11206694,17.67270457
283.55,1.113173336,17.78402191
283.65,1.1130057,17.89532248
283.75,1.113117457,18.00663422
283.85,1.113716882,18.11800591
283.95,1.113487115,18.22935462
284.05,1.114214709,18.34077609
284.15,1.113908354,18.45216693
284.25,1.1145703,18.56362396
284.35,1.114149062,18.67503887
284.45,1.114214709,18.78646034
284.55,1.114149062,18.89787524
284.65,1.1145703,19.00933227
284.75,1.114149062,19.12074718
284.85,1.11417915,19.23216509
284.95,1.114849693,19.34365006
285.05,1.1145703,19.45510709
285.15,1.1145703,19.56656412
285.25,1.1145703,19.67802115
285.35,1.115232246,19.78954438
285.45,1.115850427,19.90112942
285.55,1.115653485,20.01269477
285.65,1.115565955,20.12425136
285.75,1.115834015,20.23583477
285.85,1.1161349,20.34744826
285.95,1.1161349,20.45906175
286.05,1.115921545,20.5706539
286.15,1.116556138,20.68230951
286.25,1.116277136,20.79393723
286.35,1.116556138,20.90559284
286.45,1.116988318,21.01729167
286.55,1.117278262,21.1290195
286.65,1.117628382,21.24078234
286.75,1.118120738,21.35259441
286.85,1.1176995,21.46436436
286.95,1.118361446,21.57620051
287.05,1.118268445,21.68802735
287.15,1.1184818,21.79987553
287.25,1.118979627,21.91177349
287.35,1.118963215,22.02366982
287.45,1.1184818,22.135518
287.55,1.118662331,22.24738423
287.65,1.119690809,22.35935331
287.75,1.119384454,22.47129175
287.85,1.120401991,22.58333195
287.95,1.120587992,22.69539075
288.05,1.121326527,22.80752341
288.15,1.121611,22.91968451
288.25,1.121611,23.03184561
288.35,1.122092415,23.14405485
288.45,1.122322182,23.25628707
288.55,1.121911885,23.36847825
288.65,1.122606655,23.48073892
288.75,1.122694185,23.59300834
288.85,1.122748891,23.70528323
288.95,1.1231756,23.81760079
289.05,1.1231756,23.92991835
289.15,1.123897723,24.04230812
289.25,1.124242373,24.15473236
289.35,1.1247402,24.26720638
289.45,1.125166909,24.37972307
289.55,1.125883562,24.49231142
289.65,1.1255225,24.60486367
289.75,1.125883562,24.71745203
289.85,1.1263048,24.83008251
289.95,1.127026923,24.9427852
290.05,1.127158218,25.05550102
290.15,1.1270871,25.16820973
290.25,1.1270871,25.28091844
290.35,1.127147277,25.39363317
290.45,1.128580582,25.50649123
290.55,1.1286517,25.6193564
290.65,1.129931827,25.73234958
290.75,1.130938423,25.84544342
290.85,1.130429655,25.95848639
290.95,1.1309986,26.07158625
291.05,1.1309986,26.18468611
291.15,1.1317809,26.2978642
291.25,1.132207609,26.41108496
291.35,1.132503023,26.52433526
291.45,1.132918791,26.63762714
291.55,1.133706562,26.7509978
291.65,1.133914445,26.86438924
291.75,1.134368508,26.97782609
291.85,1.134483391,27.09127443
291.95,1.134488862,27.20472332
292.05,1.1349101,27.31821433
292.15,1.135150808,27.43172941
292.25,1.1356924,27.54529865
292.35,1.136294169,27.65892807
292.45,1.136616936,27.77258976
292.55,1.137377354,27.8863275
292.65,1.137754827,28.00010298
292.75,1.138280008,28.11393098
292.85,1.139177191,28.2278487
292.95,1.1396039,28.34180909
293.05,1.1403862,28.45584771
293.15,1.1403862,28.56988633
293.25,1.141026264,28.68398896
293.35,1.141409208,28.79812988
293.45,1.1419508,28.91232496
293.55,1.142131331,29.02653809
293.65,1.143088691,29.14084696
293.75,1.1435154,29.2551985
293.85,1.1442977,29.36962827
293.95,1.1442977,29.48405804
294.05,1.144368818,29.59849492
294.15,1.145561415,29.71305106
294.25,1.145364473,29.82758751
294.35,1.1458623,29.94217374
294.45,1.146217891,30.05679553
294.55,1.147126015,30.17150813
294.65,1.147569136,30.28626504
294.75,1.148149023,30.40107995
294.85,1.148280318,30.51590798
294.95,1.149172031,30.63082518
295.05,1.149987155,30.7458239
295.15,1.150796808,30.86090358
295.25,1.151978464,30.97610142
295.35,1.152782646,31.09137969
295.45,1.153187473,31.20669843
295.55,1.1536853,31.32206696
295.65,1.1536853,31.43743549
295.75,1.154411721,31.55287667
295.85,1.15485875,31.66836254
295.95,1.155752807,31.78393782
296.05,1.15650158,31.89958798
296.15,1.156590986,32.01524708
296.25,1.15697096,32.13094417
296.35,1.157957862,32.24673996
296.45,1.158805809,32.36262054
296.55,1.15955255,32.4785758
296.65,1.16049131,32.59462493
296.75,1.1615083,32.71077576
296.85,1.16174299,32.82695006
296.95,1.162569993,32.94320706
297.05,1.16401166,33.05960822
297.15,1.163911079,33.17599933
297.25,1.16510688,33.29251002
297.35,1.165196286,33.40902965
297.45,1.1662021,33.52564986
297.55,1.166425614,33.64229242
297.65,1.16674971,33.75896739
297.75,1.167654943,33.87573288
297.85,1.168549,33.99258778
297.95,1.169271123,34.1095149
298.05,1.169402418,34.22645514
298.15,1.170173777,34.34347252
298.25,1.17066121,34.46053864
298.35,1.1716782,34.57770646
298.45,1.1724605,34.69495251
298.55,1.17285165,34.81223767
298.65,1.1740251,34.92964018
298.75,1.175142671,35.04715445
298.85,1.17535501,35.16468995
298.95,1.176427879,35.28233274
299.05,1.1771543,35.40004817
299.15,1.178271871,35.51787535
299.25,1.1795012,35.63582547
299.35,1.179862262,35.7538117
299.45,1.17965766,35.87177747
299.55,1.18067465,35.98984493
299.65,1.18169164,36.1080141
299.75,1.182686279,36.22628272
299.85,1.183626055,36.34464533
299.95,1.184495885,36.46309492
300.05,1.185190655,36.58161398
300.15,1.185879954,36.70020198
300.25,1.186684136,36.81887039
300.35,1.187203846,36.93759078
300.45,1.188390973,37.05642987
300.55,1.188407385,37.17527061
300.65,1.1904534,37.29431595
300.75,1.190513577,37.41336731
300.85,1.192018,37.53256911
300.95,1.192860477,37.65185516
301.05,1.1935826,37.77121342
301.15,1.1943649,37.89064991
301.25,1.1959295,38.01024286
301.35,1.196591446,38.129902
301.45,1.1982764,38.24972964
301.55,1.199540115,38.36968365
301.65,1.199912118,38.48967487
301.75,1.201225069,38.60979737
301.85,1.2021879,38.73001616
301.95,1.202849846,38.85030115
302.05,1.203965855,38.97069773
302.15,1.205136569,39.09121139
302.25,1.2053171,39.2117431
302.35,1.207062231,39.33244932
302.45,1.2084463,39.45329395
302.55,1.209168423,39.57421079
302.65,1.210508727,39.69526167
302.75,1.211094085,39.81637108
302.85,1.212713391,39.93764242
302.95,1.213440985,40.05898651
303.05,1.214918055,40.18047832
303.15,1.216088769,40.3020872
303.25,1.217549427,40.42384214
303.35,1.2186162,40.54570376
303.45,1.219042909,40.66760805
303.55,1.220902923,40.78969834
303.65,1.2217454,40.91187288
303.75,1.223550708,41.03422795
303.85,1.2248746,41.15671541
303.95,1.225957785,41.27931119
304.05,1.226937027,41.40200489
304.15,1.228485215,41.52485342
304.25,1.229639518,41.64781737
304.35,1.231614415,41.77097881
304.45,1.232768718,41.89425568
304.55,1.234563085,42.01771199
304.65,1.235755682,42.14128756
304.75,1.2373914,42.2650267
304.85,1.239667182,42.38899342
304.95,1.240640954,42.51305751
305.05,1.242654145,42.63732293
305.15,1.244552454,42.76177817
305.25,1.245783345,42.88635651
305.35,1.247260415,43.01108255
305.45,1.249268136,43.13600936
305.55,1.251171915,43.26112655
305.65,1.252895164,43.38641607
305.75,1.255504654,43.51196653
305.85,1.257233373,43.63768987
305.95,1.259897569,43.76367963
306.05,1.262780591,43.88995769
306.15,1.265253315,44.01648302
306.25,1.268256691,44.14330869
306.35,1.270488708,44.27035756
306.45,1.273590555,44.39771661
306.55,1.276618157,44.52537843
306.65,1.2804179,44.65342022
306.75,1.283714736,44.78179169
306.85,1.28800621,44.91059231
306.95,1.29332585,45.0399249
307.05,1.30036655,45.16996155
307.15,1.305004471,45.300462
307.25,1.31022353,45.43148435
307.35,1.317409514,45.56322531
307.45,1.327213664,45.69594667
307.55,1.337947038,45.82974138
307.65,1.354949755,45.96523635
307.75,1.360633738,46.10129973
307.85,1.3696001,46.23825974
307.95,1.385366454,46.37679638
308.05,1.397193955,46.51651578
308.15,1.4118443,46.65770021
308.25,1.423294327,46.80002964
308.35,1.444821254,46.94451176
308.45,1.455297509,47.09004152
308.55,1.469915031,47.23703302
308.65,1.488011873,47.38583421
308.75,1.502535221,47.53608773
308.85,1.51635958,47.68772369
308.95,1.534777157,47.8412014
309.05,1.558063282,47.99700773
309.15,1.5761273,48.15462046
309.25,1.5964671,48.31426717
309.35,1.6175892,48.47602609
309.45,1.640418136,48.6400679
309.55,1.657245792,48.80579248
309.65,1.6911254,48.97490502
309.75,1.721153685,49.14702039
309.85,1.748019945,49.32182239
309.95,1.777010764,49.49952346
310.05,1.80886155,49.68040962
310.15,1.8452385,49.86493347
310.25,1.882219955,50.05315546
310.35,1.926417169,50.24579718
310.45,1.967988482,50.44259603
310.55,2.013377121,50.64393374
310.65,2.061508891,50.85008463
310.75,2.105262985,51.06061093
310.85,2.154602591,51.27607119
310.95,2.202869954,51.49635818
311.05,2.250043191,51.7213625
311.15,2.300592979,51.9514218
311.25,2.348328518,52.18625465
311.35,2.390983015,52.42535295
311.45,2.431394555,52.66849241
311.55,2.475437029,52.91603611
311.65,2.509553436,53.16699145
311.75,2.539800546,53.42097151
311.85,2.564527791,53.67742429
311.95,2.5852943,53.93595372
312.05,2.597953336,54.19574905
312.15,2.613233586,54.45707241
312.25,2.618790964,54.71895151
312.35,2.6197155,54.98092306
312.45,2.6204978,55.24297284
312.55,2.618993377,55.50487217
312.65,2.615377291,55.7664099
312.75,2.609425246,56.02735243
312.85,2.605278509,56.28788028
312.95,2.598172162,56.54769749
313.05,2.591410464,56.80683854
313.15,2.584632354,57.06530178
313.25,2.574982164,57.32279999
313.35,2.566338569,57.57943385
313.45,2.553646709,57.83479852
313.55,2.544855408,58.08928406
313.65,2.53773046,58.34305711
313.75,2.534724193,58.59652953
313.85,2.53162852,58.84969238
313.95,2.529806879,59.10267307
314.05,2.52998569,59.35567164
314.15,2.530253907,59.60869703
314.25,2.534515918,59.86214862
314.35,2.543290808,60.1164777
314.45,2.55822672,60.37230037
314.55,2.593173179,60.63161769
314.65,2.6283208,60.89444977
314.75,2.674115438,61.16186131
314.85,2.721698973,61.43403121
314.95,2.779244523,61.71195566
315.05,2.828874073,61.99484307
315.15,2.89312935,62.284156
315.25,2.952193,62.5793753
315.35,3.022479646,62.88162327
315.45,3.090233391,63.19064661
315.55,3.174310321,63.50807764
315.65,3.245057673,63.83258341
315.75,3.340093446,64.16659275
315.85,3.428969291,64.50948968
315.95,3.520701586,64.86155984
316.05,3.633220709,65.22488191
316.15,3.744718779,65.59935379
316.25,3.860727773,65.98542657
316.35,3.987064143,66.38413298
316.45,4.118957891,66.79602877
316.55,4.255951829,67.22162395
316.65,4.411893682,67.66281332
316.75,4.564066271,68.11921995
316.85,4.738705433,68.59309049
316.95,4.918534138,69.0849439
317.05,5.113166367,69.59626054
317.15,5.329099793,70.12917052
317.25,5.542257917,70.68339631
317.35,5.792556664,71.26265198
317.45,6.035023945,71.86615437
317.55,6.304244193,72.49657879
317.65,6.589816882,73.15556048
317.75,6.897540513,73.84531453
317.85,7.242261008,74.56954063
317.95,7.580726829,75.32761332
318.05,7.958195892,76.1234329
318.15,8.372019553,76.96063486
318.25,8.809599058,77.84159477
318.35,9.29070052,78.77066482
318.45,9.785648692,79.74922969
318.55,10.34732705,80.78396239
318.65,10.95831138,81.87979353
318.75,11.64104264,83.04389779
318.85,12.38877702,84.2827755
318.95,13.22794797,85.60557029
319.05,14.21057318,87.02662761
