T (K),88vol% Weighted heat capacity (J/g-c),88vol% enthalpy (J/g)
0.1,0.250049865,0.250049865
0.2,0.253390183,0.275388883
0.3,0.43724455,0.319113338
0.4,0.649822753,0.384095613
0.5,0.788214243,0.462917038
0.6,0.8987347,0.552790508
0.7,0.984610938,0.651251602
0.8,1.038772107,0.755128812
0.9,1.083730133,0.863501826
1,1.12013016,0.975514842
1.1,1.148745,1.090389342
1.2,1.166400413,1.207029383
1.3,1.1797872,1.325008103
1.4,1.1905625,1.444064353
1.5,1.20275765,1.564340118
1.6,1.206089157,1.684949034
1.7,1.2105182,1.806000854
1.8,1.213057814,1.927306635
1.9,1.2137858,2.048685215
2,1.215930857,2.170278301
2.1,1.2149528,2.291773581
2.2,1.215611108,2.413334692
2.3,1.215523333,2.534887025
2.4,1.214557815,2.656342806
2.5,1.215264,2.777869206
2.6,1.215258443,2.899395051
2.7,1.2137858,3.020773631
2.8,1.213702015,3.142143832
2.9,1.2130078,3.263444612
3,1.2119575,3.384640362
3.1,1.2107516,3.505715522
3.2,1.2089622,3.626611742
3.3,1.208262,3.747437942
3.4,1.206592292,3.868097172
3.5,1.203970033,3.988494175
3.6,1.201654985,4.108659673
3.7,1.2007154,4.228731213
3.8,1.197375985,4.348468812
3.9,1.1953472,4.468003532
4,1.193191029,4.587322635
4.1,1.1906014,4.706382775
4.2,1.188620492,4.825244824
4.3,1.1856222,4.943807044
4.4,1.184078169,5.062214861
4.5,1.1812654,5.180341401
4.6,1.178336786,5.298175079
4.7,1.17541484,5.415716563
4.8,1.1734465,5.533061213
4.9,1.1700622,5.650067433
5,1.167357154,5.766803149
5.1,1.1657832,5.883381469
5.2,1.163078154,5.999689284
5.3,1.1602594,6.115715224
5.4,1.157680031,6.231483227
5.5,1.1563694,6.347120167
5.6,1.154374386,6.462557606
5.7,1.15196592,6.577754198
5.8,1.149648677,6.692719065
5.9,1.148271717,6.807546237
6,1.145501338,6.922096371
6.1,1.1422876,7.036325131
6.2,1.140893185,7.150414449
6.3,1.138631,7.264277549
6.4,1.136877508,7.3779653
6.5,1.1342742,7.49139272
6.6,1.132598508,7.604652571
6.7,1.130462,7.717698771
6.8,1.128319508,7.830530722
6.9,1.1271944,7.943250162
7,1.125225462,8.055772708
7.1,1.1237712,8.168149828
7.2,1.121933923,8.28034322
7.3,1.1206592,8.39240914
7.4,1.1191032,8.50431946
7.5,1.1181696,8.61613642
7.6,1.116338308,8.727770251
7.7,1.1154466,8.839314911
7.8,1.113846143,8.950699525
7.9,1.11242796,9.061942321
8,1.111095357,9.173051857
8.1,1.10977498,9.284029355
8.2,1.108283443,9.394857699
8.3,1.1064218,9.505499879
8.4,1.105607892,9.616060668
8.5,1.1044768,9.726508348
8.6,1.103567138,9.836865062
8.7,1.1023762,9.947102682
8.8,1.1011314,10.05721582
8.9,1.1002756,10.16724338
9,1.0994198,10.27718536
9.1,1.0991864,10.387104
9.2,1.098037354,10.49690774
9.3,1.0974748,10.60665522
9.4,1.095930769,10.71624829
9.5,1.0959966,10.82584795
9.6,1.0951408,10.93536203
9.7,1.093896,11.04475163
9.8,1.093560862,11.15410772
9.9,1.091562,11.26326392
10,1.091585938,11.37242251
10.1,1.090784,11.48150091
10.2,1.090664308,11.59056735
10.3,1.090006,11.69956795
10.4,1.090006,11.80856855
10.5,1.0895392,11.91752247
10.6,1.088491892,12.02637165
10.7,1.0882944,12.13520109
10.8,1.087570262,12.24395812
10.9,1.0882944,12.35278756
11,1.087767754,12.46156434
11.1,1.0873608,12.57030042
11.2,1.0865828,12.6789587
11.3,1.0860382,12.78756252
11.4,1.084937031,12.89605622
11.5,1.0850268,13.0045589
11.6,1.084607877,13.11301969
11.7,1.0840154,13.22142123
11.8,1.083554585,13.32977669
11.9,1.0838598,13.43816267
12,1.082896277,13.54645229
12.1,1.0823038,13.65468267
12.2,1.0823038,13.76291305
12.3,1.0824594,13.87115899
12.4,1.0823038,13.97938937
12.5,1.0823038,14.08761975
12.6,1.0823038,14.19585013
12.7,1.0823038,14.30408051
12.8,1.081842985,14.41226481
12.9,1.0821482,14.52047963
13,1.081513831,14.62863101
13.1,1.081448,14.73677581
13.2,1.081645492,14.84494036
13.3,1.081448,14.95308516
13.4,1.081203486,15.06120551
13.5,1.08076336,15.16928185
13.6,1.0805922,15.27734107
13.7,1.0808256,15.38542363
13.8,1.0805922,15.49348285
13.9,1.08042104,15.60152495
14,1.080394708,15.70956442
14.1,1.0802032,15.81758474
