T (K),58vol% Weighted heat capacity (J/g-c),58vol% enthalpy (J/g)
273.25,0.713017432,0.713017432
273.35,0.715077517,0.784525184
273.45,0.82846655,0.867371839
273.55,0.959570518,0.963328891
273.65,1.0449211,1.067821001
273.75,1.1130827,1.179129271
273.85,1.1660454,1.295733811
273.95,1.199448373,1.415678648
274.05,1.227175467,1.538396195
274.15,1.24962456,1.663358651
274.25,1.267272273,1.790085878
274.35,1.278160947,1.917901973
274.45,1.286417018,2.046543675
274.55,1.2930625,2.175849925
274.65,1.30058365,2.30590829
274.75,1.3026383,2.43617212
274.85,1.305369836,2.566709103
274.95,1.3069361,2.697402713
275.05,1.307385073,2.828141221
275.15,1.308708,2.959012021
275.25,1.3081048,3.089822501
275.35,1.3085108,3.220673581
275.45,1.308456667,3.351519247
275.55,1.3078612,3.482305367
275.65,1.308296727,3.61313504
275.75,1.3082933,3.74396437
275.85,1.307385073,3.874702877
275.95,1.3073334,4.005436217
276.05,1.306905255,4.136126743
276.15,1.3062575,4.266752493
276.25,1.305513782,4.397303871
276.35,1.3044102,4.527744891
276.45,1.303978364,4.658142727
276.55,1.3029486,4.788437587
276.65,1.301331367,4.918570724
276.75,1.2999036,5.048561084
276.85,1.299324127,5.178493497
276.95,1.2972646,5.308219957
277.05,1.296013382,5.437821295
277.15,1.2946836,5.567289655
277.25,1.293086491,5.696598304
277.35,1.2918648,5.825784784
277.45,1.290015655,5.954786349
277.55,1.2890634,6.083692689
277.65,1.287328673,6.212425557
277.75,1.2855225,6.340977807
277.85,1.28372044,6.469349851
277.95,1.2825065,6.597600501
278.05,1.280419291,6.72564243
278.15,1.278751,6.85351753
278.25,1.277780291,6.981295559
278.35,1.276112,7.108906759
278.45,1.274373582,7.236344117
278.55,1.2727828,7.363622397
278.65,1.271974491,7.490819846
278.75,1.2707441,7.617894256
278.85,1.26925872,7.744820128
278.95,1.2678296,7.871603088
279.05,1.266980383,7.998301126
279.15,1.2652718,8.124828306
279.25,1.263289782,8.251157285
279.35,1.2624298,8.377400265
279.45,1.261034636,8.503503728
279.55,1.2599532,8.629499048
279.65,1.258347655,8.755333814
279.75,1.2573142,8.881065234
279.85,1.255996545,9.006664888
279.95,1.2546752,9.132132408
280.05,1.253981309,9.257530539
280.15,1.252767,9.382807239
280.25,1.251870109,9.50799425
280.35,1.250737,9.63306795
280.45,1.249950836,9.758063034
280.55,1.2489912,9.882962154
280.65,1.248415418,10.0078037
280.75,1.247286,10.1325323
280.85,1.246736055,10.2572059
280.95,1.245749,10.3817808
281.05,1.24487436,10.50626824
281.15,1.2440525,10.63067349
281.25,1.24323818,10.7549973
281.35,1.2423183,10.87922913
281.45,1.241170164,11.00334615
281.55,1.2406682,11.12741297
281.65,1.239970618,11.25141003
281.75,1.2394096,11.37535099
281.85,1.238675109,11.4992185
281.95,1.2379074,11.62300924
282.05,1.2373796,11.7467472
282.15,1.2368518,11.87043238
282.25,1.236707855,11.99410317
282.35,1.2359992,12.11770309
282.45,1.235652255,12.24126831
282.55,1.2347,12.36473831
282.65,1.2347406,12.48821237
282.75,1.2342128,12.61163365
282.85,1.233445091,12.73497816
282.95,1.2332384,12.858302
283.05,1.232005636,12.98150257
283.15,1.2320204,13.10470461
283.25,1.231525818,13.22785719
283.35,1.231452,13.35100239
283.45,1.231046,13.47410699
283.55,1.231046,13.59721159
283.65,1.230758109,13.7202874
283.75,1.2301122,13.84329862
283.85,1.2299904,13.96629766
283.95,1.2295438,14.08925204
284.05,1.2299904,14.21225108
284.15,1.2296656,14.33521764
284.25,1.229414618,14.4581591
284.35,1.2289348,14.58105258
284.45,1.228598927,14.70391247
284.55,1.2279198,14.82670445
284.65,1.227975164,14.94950197
284.75,1.2277168,15.07227365
284.85,1.2273514,15.19500879
284.95,1.2270672,15.31771551
285.05,1.227255436,15.44044105
285.15,1.2266612,15.56310717
285.25,1.2262958,15.68573675
285.35,1.2262958,15.80836633
285.45,1.226391764,15.93100551
285.55,1.2262958,16.05363509
285.65,1.2262958,16.17626467
285.75,1.2262958,16.29889425
285.85,1.2262958,16.42152383
285.95,1.2260116,16.54412499
286.05,1.226199836,16.66674497
286.15,1.2258086,16.78932583
286.25,1.225768,16.91190263
286.35,1.2258898,17.03449161
286.45,1.225768,17.15706841
286.55,1.2256172,17.27963013
286.65,1.22534576,17.40216471
286.75,1.2252402,17.52468873
286.85,1.225384145,17.64722715
286.95,1.2252402,17.76975117
287.05,1.22513464,17.89226463
287.15,1.2251184,18.01477647
287.25,1.225000291,18.1372765
287.35,1.2252402,18.25980052
287.45,1.2252402,18.38232454
287.55,1.2248632,18.50481086
287.65,1.22539854,18.62735071
287.75,1.2255041,18.74990112
287.85,1.22476518,18.87237764
287.95,1.2252025,18.99489789
288.05,1.2252402,19.11742191
288.15,1.2248342,19.23990533
288.25,1.2249763,19.36240296
288.35,1.225014,19.48490436
288.45,1.22460684,19.60736504
288.55,1.2253533,19.72990037
288.65,1.2252402,19.85242439
288.75,1.2253156,19.97495595
288.85,1.225720018,20.09752796
288.95,1.225565,20.22008446
289.05,1.226055891,20.34269005
289.15,1.2258492,20.46527497
289.25,1.2262958,20.58790455
289.35,1.2260116,20.71050571
289.45,1.226055891,20.83311129
289.55,1.2260116,20.95571245
289.65,1.2262958,21.07834203
289.75,1.2260116,21.20094319
289.85,1.2260319,21.32354638
289.95,1.2264843,21.44619481
290.05,1.2262958,21.56882439
290.15,1.2262958,21.69145397
290.25,1.2262958,21.81408355
290.35,1.2267424,21.93675779
290.45,1.227159473,22.05947374
290.55,1.2270266,22.1821764
290.65,1.226967545,22.30487316
290.75,1.2271484,22.427588
290.85,1.2273514,22.55032314
290.95,1.2273514,22.67305828
291.05,1.227207455,22.79577902
291.15,1.2276356,22.91854258
291.25,1.227447364,23.04128732
291.35,1.2276356,23.16405088
291.45,1.227927182,23.2868436
291.55,1.2281228,23.40965588
291.65,1.228359018,23.53249178
291.75,1.2286912,23.6553609
291.85,1.228407,23.7782016
291.95,1.2288536,23.90108696
292.05,1.228790855,24.02396604
292.15,1.2289348,24.14685952
292.25,1.229270673,24.26978659
292.35,1.2292596,24.39271255
292.45,1.2289348,24.51560603
292.55,1.2290566,24.63851169
292.65,1.229750491,24.76148674
292.75,1.2295438,24.88444112
292.85,1.230230309,25.00746415
292.95,1.2303558,25.13049973
293.05,1.230854073,25.25358514
293.15,1.231046,25.37668974
293.25,1.231046,25.49979434
293.35,1.2313708,25.62293142
293.45,1.231525818,25.746084
293.55,1.231249,25.8692089
293.65,1.231717745,25.99238067
293.75,1.2317768,26.11555835
293.85,1.231813709,26.23873973
293.95,1.2321016,26.36194989
294.05,1.2321016,26.48516005
294.15,1.2325888,26.60841893
294.25,1.232821327,26.73170106
294.35,1.2331572,26.85501678
294.45,1.233445091,26.97836129
294.55,1.2339286,27.10175415
294.65,1.233685,27.22512265
294.75,1.2339286,27.34851551
294.85,1.2342128,27.47193679
294.95,1.2347,27.59540679
295.05,1.234788582,27.71888565
295.15,1.2347406,27.84235971
295.25,1.2347406,27.96583377
295.35,1.2347812,28.08931189
295.45,1.235748218,28.21288671
295.55,1.2357962,28.33646633
295.65,1.236659873,28.46013231
295.75,1.237339,28.58386621
295.85,1.236995745,28.70756579
295.95,1.2373796,28.83130375
296.05,1.2373796,28.95504171
296.15,1.2379074,29.07883245
296.25,1.238195291,29.20265198
296.35,1.2383946,29.32649144
296.45,1.238675109,29.45035895
296.55,1.2392066,29.57427961
296.65,1.239346855,29.69821429
296.75,1.2396532,29.82217961
296.85,1.239730709,29.94615269
296.95,1.2397344,30.07012613
297.05,1.2400186,30.19412799
297.15,1.240181,30.31814609
297.25,1.2405464,30.44220073
297.35,1.2409524,30.56629597
297.45,1.241170164,30.69041298
