T (K),64.3vol% Weighted heat capacity (J/g-K),64.3vol% enthalpy (J/g)
273.25,0.620988514,0.620988514
273.35,0.623303083,0.683318822
273.45,0.75069925,0.758388747
273.55,0.897998706,0.848188617
273.65,0.993892786,0.947577896
273.75,1.0704745,1.054625346
273.85,1.129979769,1.167623323
273.95,1.167509067,1.28437423
274.05,1.198661333,1.404240363
274.15,1.2238836,1.526628723
274.25,1.243711364,1.650999859
274.35,1.255945133,1.776594373
274.45,1.265221091,1.903116482
274.55,1.2726875,2.030385232
274.65,1.28113775,2.158499007
274.75,1.283446214,2.286843628
274.85,1.286515182,2.415495146
274.95,1.288274929,2.544322639
275.05,1.288779364,2.673200576
275.15,1.290265714,2.802227147
275.25,1.289588,2.931185947
275.35,1.290044154,3.060190362
275.45,1.289983333,3.189188696
275.55,1.289314308,3.318120126
275.65,1.289803636,3.44710049
275.75,1.289799786,3.576080469
275.85,1.288779364,3.704958405
275.95,1.288721308,3.833830536
276.05,1.288240273,3.962654563
276.15,1.2875125,4.091405813
276.25,1.286676909,4.220073504
276.35,1.285437,4.348617204
276.45,1.284951818,4.477112386
276.55,1.283794846,4.60549187
276.65,1.281977833,4.733689654
276.75,1.280373692,4.861727023
276.85,1.279722636,4.989699287
276.95,1.277408692,5.117440156
277.05,1.276002909,5.245040447
277.15,1.274508857,5.372491332
277.25,1.272714455,5.499762778
277.35,1.271341846,5.626896963
277.45,1.269264273,5.75382339
277.55,1.268194385,5.880642828
277.65,1.266245364,6.007267365
277.75,1.264216071,6.133688972
277.85,1.2621914,6.259908112
277.95,1.2608275,6.385990862
278.05,1.258482455,6.511839107
278.15,1.256608077,6.637499915
278.25,1.255517455,6.76305166
278.35,1.253643077,6.888415968
278.45,1.251689909,7.013584959
278.55,1.249902615,7.138575221
278.65,1.248994455,7.263474666
278.75,1.247612071,7.388235873
278.85,1.2459432,7.512830193
278.95,1.244337538,7.637263947
279.05,1.243383417,7.761602289
279.15,1.241463769,7.885748666
279.25,1.239236909,8.009672356
279.35,1.238270692,8.133499426
279.45,1.236703182,8.257169744
279.55,1.235488154,8.380718559
279.65,1.233684273,8.504086987
279.75,1.232523154,8.627339302
279.85,1.231042727,8.750443575
279.95,1.229558154,8.87339939
280.05,1.228778545,8.996277245
280.15,1.227414231,9.119018668
280.25,1.226406545,9.241659322
280.35,1.225133462,9.364172668
280.45,1.224250182,9.486597687
280.55,1.223172,9.608914887
280.65,1.222525091,9.731167396
280.75,1.221256154,9.853293011
280.85,1.220638273,9.975356838
280.95,1.219529286,10.09730977
281.05,1.2185466,10.21916443
281.15,1.217623214,10.34092675
281.25,1.2167083,10.46259758
281.35,1.215674786,10.58416506
281.45,1.214384818,10.70560354
281.55,1.213820846,10.82698562
281.65,1.213037091,10.94828933
281.75,1.212406769,11.06953001
281.85,1.211581545,11.19068816
281.95,1.210719,11.31176006
282.05,1.210126,11.43277266
282.15,1.209533,11.55372596
282.25,1.209371273,11.67466309
282.35,1.208575077,11.7955206
282.45,1.208185273,11.91633913
282.55,1.207115385,12.03705066
282.65,1.207161,12.15776676
282.75,1.206568,12.27842356
282.85,1.205705455,12.39899411
282.95,1.205473231,12.51954143
283.05,1.204088182,12.63995025
283.15,1.204104769,12.76036073
283.25,1.203549091,12.88071564
283.35,1.203466154,13.00106225
283.45,1.20301,13.12136325
283.55,1.20301,13.24166425
283.65,1.202686545,13.36193291
283.75,1.201960846,13.48212899
283.85,1.201824,13.60231139
283.95,1.201322231,13.72244361
284.05,1.201824,13.84262601
284.15,1.201459077,13.96277192
284.25,1.201177091,14.08288963
284.35,1.200638,14.20295343
284.45,1.200260636,14.3229795
284.55,1.199497615,14.44292926
284.65,1.199559818,14.56288524
284.75,1.199269538,14.68281219
284.85,1.198859,14.80269809
284.95,1.198539692,14.92255206
285.05,1.198751182,15.04242718
285.15,1.198083538,15.16223553
285.25,1.197673,15.28200283
285.35,1.197673,15.40177013
285.45,1.197780818,15.52154822
285.55,1.197673,15.64131552
285.65,1.197673,15.76108282
285.75,1.197673,15.88085012
285.85,1.197673,16.00061742
285.95,1.197353692,16.12035278
286.05,1.197565182,16.2401093
286.15,1.197125615,16.35982186
286.25,1.19708,16.47952986
286.35,1.197216846,16.59925155
286.45,1.19708,16.71895955
286.55,1.196910571,16.83865061
286.65,1.1966056,16.95831117
286.75,1.196487,17.07795987
286.85,1.196648727,17.19762474
286.95,1.196487,17.31727344
287.05,1.1963684,17.43691028
287.15,1.196350154,17.55654529
287.25,1.196217455,17.67616704
287.35,1.196487,17.79581574
287.45,1.196487,17.91546444
287.55,1.196063429,18.03507078
287.65,1.1966649,18.15473727
287.75,1.1967835,18.27441562
287.85,1.1959533,18.39401095
287.95,1.196444643,18.51365542
288.05,1.196487,18.63330412
288.15,1.196030846,18.7529072
288.25,1.1961905,18.87252625
288.35,1.196232857,18.99214954
288.45,1.1957754,19.11172708
288.55,1.196614071,19.23138848
288.65,1.196487,19.35103718
288.75,1.196571714,19.47069436
288.85,1.197026091,19.59039697
288.95,1.196851923,19.71008216
289.05,1.197403455,19.8298225
289.15,1.197171231,19.94953963
289.25,1.197673,20.06930693
289.35,1.197353692,20.1890423
289.45,1.197403455,20.30878264
289.55,1.197353692,20.42851801
289.65,1.197673,20.54828531
289.75,1.197353692,20.66802068
289.85,1.1973765,20.78775833
289.95,1.197884786,20.90754681
290.05,1.197673,21.02731411
290.15,1.197673,21.14708141
290.25,1.197673,21.26684871
290.35,1.198174769,21.38666618
290.45,1.198643364,21.50653052
290.55,1.198494077,21.62637993
290.65,1.198427727,21.7462227
290.75,1.198630923,21.86608579
290.85,1.198859,21.98597169
290.95,1.198859,22.10585759
291.05,1.198697273,22.22572732
291.15,1.199178308,22.34564515
291.25,1.198966818,22.46554183
291.35,1.199178308,22.58545966
291.45,1.199505909,22.70541026
291.55,1.199725692,22.82538282
291.65,1.199991091,22.94538193
291.75,1.200364308,23.06541836
291.85,1.200045,23.18542286
291.95,1.200546769,23.30547754
292.05,1.200476273,23.42552517
292.15,1.200638,23.54558897
292.25,1.201015364,23.6656905
292.35,1.201002923,23.7857908
292.45,1.200638,23.9058546
292.55,1.200774846,24.02593208
292.65,1.201554455,24.14608753
292.75,1.201322231,24.26621975
292.85,1.202093545,24.3864291
292.95,1.202234538,24.50665256
293.05,1.202794364,24.62693199
293.15,1.20301,24.74723299
293.25,1.20301,24.86753399
293.35,1.203374923,24.98787149
293.45,1.203549091,25.1082264
293.55,1.203238077,25.2285502
293.65,1.203764727,25.34892668
293.75,1.203831077,25.46930978
293.85,1.203872545,25.58969704
293.95,1.204196,25.71011664
294.05,1.204196,25.83053624
294.15,1.204743385,25.95101058
294.25,1.205004636,26.07151104
294.35,1.205382,26.19204924
294.45,1.205705455,26.31261979
294.55,1.206248692,26.43324466
294.65,1.205975,26.55384216
294.75,1.206248692,26.67446703
294.85,1.206568,26.79512383
294.95,1.207115385,26.91583536
295.05,1.207214909,27.03655685
295.15,1.207161,27.15727295
